[0:00:00 -> 0:00:02]  Alright, let me...
[0:36:50 -> 0:36:52]  But then as they were telling me the story
[0:36:52 -> 0:36:54]  she was like, oh, I'm also there stealing
[0:36:54 -> 0:36:56]  And they said, no, you can't be there
[0:36:56 -> 0:36:58]  We already said it's only the three of us
[0:36:58 -> 0:37:00]  Too many people
[0:37:00 -> 0:37:02]  So I think it was me suggesting maybe she can be the police
[0:37:02 -> 0:37:04]  And they loved that
[0:37:04 -> 0:37:06]  And you're the policewoman
[0:37:06 -> 0:37:08]  Yeah, because Chloe didn't like originally
[0:37:08 -> 0:37:10]  the story of stealing
[0:37:10 -> 0:37:12]  So she wanted to go buy stuff
[0:37:12 -> 0:37:14]  and get back to Will's
[0:37:14 -> 0:37:16]  So yeah, that fits her character
[0:37:16 -> 0:37:18]  And the same with Isis
[0:37:18 -> 0:37:20]  who was not here last week
[0:37:20 -> 0:37:22]  I asked her about
[0:37:22 -> 0:37:24]  Because she was also
[0:37:24 -> 0:37:26]  put on the story of stealing
[0:37:26 -> 0:37:28]  And Isis said, uh-uh
[0:37:28 -> 0:37:30]  I love Isis
[0:37:30 -> 0:37:32]  You said, uh-uh, I don't do that
[0:37:32 -> 0:37:34]  No, no, no, you have to put me out of that
[0:37:34 -> 0:37:36]  She didn't want to be included
[0:37:36 -> 0:37:38]  on the story of stealing
[0:37:38 -> 0:37:40]  Isis
[0:37:40 -> 0:37:42]  Yeah
[0:37:42 -> 0:37:44]  Maybe we can ask them some questions about
[0:37:44 -> 0:37:46]  as they're working, what are you taking away from the story?
[0:37:46 -> 0:37:48]  So it looks more like a story
[0:37:48 -> 0:37:50]  And maybe also
[0:37:50 -> 0:37:52]  I would say
[0:37:52 -> 0:37:54]  not to make it funny
[0:37:54 -> 0:37:56]  I feel like it still
[0:37:56 -> 0:37:58]  fits in the idea of community
[0:37:58 -> 0:38:00]  Because they're acknowledging
[0:38:00 -> 0:38:02]  the dynamic in the community
[0:38:02 -> 0:38:04]  But maybe not make it
[0:38:04 -> 0:38:06]  like, oh, this is so funny
[0:38:06 -> 0:38:08]  You're going to jail and then you're going to wake up
[0:38:08 -> 0:38:10]  I also wonder if
[0:38:10 -> 0:38:12]  maybe
[0:38:12 -> 0:38:14]  we push them to think about
[0:38:14 -> 0:38:16]  why is it that this is the story?
[0:38:16 -> 0:38:18]  Because if it's
[0:38:18 -> 0:38:20]  They might respond
[0:38:20 -> 0:38:22]  and be like, oh, I did this because I thought it would be funny
[0:38:22 -> 0:38:24]  Or they might respond and be like, this is what I feel like
[0:38:24 -> 0:38:26]  This is what I see
[0:38:26 -> 0:38:28]  Or like, this is what I
[0:38:28 -> 0:38:30]  You know what I mean? And I think
[0:38:30 -> 0:38:32]  one way or another, right, then that questioning
[0:38:32 -> 0:38:34]  also pushes them to that criticality
[0:38:34 -> 0:38:36]  of why is it that you feel like it's the story
[0:38:36 -> 0:38:38]  I asked one of them
[0:38:40 -> 0:38:42]  Kelsey, maybe
[0:38:42 -> 0:38:44]  Kaylee
[0:38:44 -> 0:38:46]  Because they said
[0:38:46 -> 0:38:48]  Oh, then when I'm in jail
[0:38:48 -> 0:38:50]  they're going to do me something
[0:38:50 -> 0:38:52]  They were going to do to them something
[0:38:52 -> 0:38:54]  but that was realistic
[0:38:54 -> 0:38:56]  that happens
[0:38:56 -> 0:38:58]  And I said
[0:38:58 -> 0:39:00]  Oh, why is that happening in jail?
[0:39:00 -> 0:39:02]  And she said, well, that's what happens in jail
[0:39:02 -> 0:39:04]  And I asked her, how do you know?
[0:39:04 -> 0:39:06]  To see if she knew more
[0:39:06 -> 0:39:08]  I wanted to see if this jail connection had anything
[0:39:08 -> 0:39:10]  to do with real life
[0:39:10 -> 0:39:12]  But
[0:39:12 -> 0:39:14]  But no, she didn't reveal anything
[0:39:14 -> 0:39:16]  I think it's just imagination
[0:39:16 -> 0:39:18]  I think they're just playing
[0:39:18 -> 0:39:20]  All over pop culture
[0:39:20 -> 0:39:22]  But I'd rather get that
[0:39:22 -> 0:39:24]  Take that
[0:39:24 -> 0:39:26]  The imagination, pop culture
[0:39:26 -> 0:39:28]  It's also in a lot of people's personal lives
[0:39:28 -> 0:39:30]  Maybe
[0:39:30 -> 0:39:32]  She didn't mention anything
[0:39:32 -> 0:39:34]  I'm just wondering
[0:39:34 -> 0:39:36]  if Kelsey
[0:39:36 -> 0:39:38]  has been so detailed and pushy
[0:39:38 -> 0:39:40]  about this story because she heard
[0:39:40 -> 0:39:42]  not that it's come of
[0:39:42 -> 0:39:44]  her imagination
[0:39:44 -> 0:39:46]  but she actually heard the story
[0:39:46 -> 0:39:48]  from an adult
[0:39:48 -> 0:39:50]  when she saw it in a movie
[0:39:50 -> 0:39:52]  and now, I don't know
[0:39:52 -> 0:39:54]  because she's been very pushy
[0:39:54 -> 0:39:56]  We see this in movies all the time
[0:39:56 -> 0:39:58]  But she's been very pushy about this story
[0:39:58 -> 0:40:00]  because I asked her the first time
[0:40:00 -> 0:40:02]  she explained
[0:40:02 -> 0:40:04]  Don't you think that spending
[0:40:04 -> 0:40:06]  six years in jail
[0:40:06 -> 0:40:08]  Seven
[0:40:08 -> 0:40:10]  You will be 13 when you get out of there
[0:40:10 -> 0:40:12]  So, don't you think that
[0:40:12 -> 0:40:14]  it will be like
[0:40:14 -> 0:40:16]  you will be missing out things
[0:40:16 -> 0:40:18]  And she was like, no
[0:40:18 -> 0:40:20]  It doesn't matter because I will exercise
[0:40:20 -> 0:40:22]  You know, let them
[0:40:22 -> 0:40:24]  try it out
[0:40:24 -> 0:40:26]  Take that identity of
[0:40:26 -> 0:40:28]  I'm in jail and
[0:40:28 -> 0:40:30]  They're exploring and playing with that
[0:40:30 -> 0:40:32]  It allows them to imagine
[0:40:32 -> 0:40:34]  Right back here, you have consequences
[0:40:34 -> 0:40:36]  Yeah
[0:40:36 -> 0:40:38]  It could be
[0:40:38 -> 0:40:40]  There are limits in the school
[0:40:40 -> 0:40:42]  We could ask some questions
[0:40:42 -> 0:40:44]  But at the same time, it's following their own
[0:40:44 -> 0:40:46]  fashions, right
[0:40:46 -> 0:40:48]  Sorry, I was just going to say
[0:40:48 -> 0:40:50]  We could ask some questions during
[0:40:50 -> 0:40:52]  Do you think that they deserve to be in there
[0:40:52 -> 0:40:54]  for seven years for stealing something
[0:40:54 -> 0:40:56]  What are some reasons people
[0:40:56 -> 0:40:58]  steal things
[0:40:58 -> 0:41:00]  Criticality
[0:41:00 -> 0:41:02]  Why did they steal
[0:41:02 -> 0:41:04]  and why do other people steal
[0:41:04 -> 0:41:06]  Might be a good question
[0:41:06 -> 0:41:08]  I'm doing that
[0:41:08 -> 0:41:10]  I think when we make it clear to them
[0:41:10 -> 0:41:12]  This is actually a really big thing
[0:41:12 -> 0:41:14]  This is a big deal
[0:41:14 -> 0:41:16]  For someone to go to jail
[0:41:16 -> 0:41:18]  And this happens to people and it changes their lives
[0:41:18 -> 0:41:20]  Might
[0:41:20 -> 0:41:22]  push them
[0:41:22 -> 0:41:24]  I think it would be good for them
[0:41:24 -> 0:41:26]  to think about this
[0:41:26 -> 0:41:28]  Think about it in a more serious way
[0:41:28 -> 0:41:30]  And
[0:41:30 -> 0:41:32]  slash
[0:41:32 -> 0:41:34]  Or push them to vocalize
[0:41:34 -> 0:41:36]  What are we thinking about in making this
[0:41:36 -> 0:41:38]  And then it's also not
[0:41:38 -> 0:41:40]  And then we can kind of like
[0:41:40 -> 0:41:42]  Maybe
[0:41:42 -> 0:41:44]  That will make more space for it to be
[0:41:44 -> 0:41:46]  More of a conversation
[0:41:46 -> 0:41:48]  What is this that you're thinking about
[0:41:48 -> 0:41:50]  And why are you thinking about it
[0:41:50 -> 0:41:52]  And how can we think about it in a critical way
[0:41:52 -> 0:41:54]  Versus like
[0:41:54 -> 0:41:56]  I see this on TV
[0:41:56 -> 0:41:58]  And I want to replicate it
[0:41:58 -> 0:42:00]  I don't know
[0:42:00 -> 0:42:02]  I kind of want
[0:42:02 -> 0:42:04]  The step
[0:42:04 -> 0:42:06]  The next step right from what we did
[0:42:06 -> 0:42:08]  With the two dimensional
[0:42:08 -> 0:42:10]  Apart from the artistic process which is very different
[0:42:10 -> 0:42:12]  With the clay, the box
[0:42:12 -> 0:42:14]  The smaller device
[0:42:14 -> 0:42:16]  All that is very different
[0:42:16 -> 0:42:18]  In the reading
[0:42:18 -> 0:42:20]  In the literal CPs
[0:42:20 -> 0:42:22]  It's criticality, connections to the community
[0:42:22 -> 0:42:24]  What's the message
[0:42:24 -> 0:42:26]  Where are we hearing from your story
[0:42:26 -> 0:42:28]  Those pieces of the more traditional
[0:42:28 -> 0:42:30]  Right, Hannah, do you think
[0:42:30 -> 0:42:32]  Those are the pieces that we could
[0:42:32 -> 0:42:34]  Explore more
[0:42:34 -> 0:42:36]  That you value more in the regular curriculum
[0:42:36 -> 0:42:38]  For literacy learning, right
[0:42:38 -> 0:42:40]  Yeah
[0:42:40 -> 0:42:42]  So finding the balance that we want with the school
[0:42:44 -> 0:42:46]  Maybe a different thing for each child
[0:42:46 -> 0:42:48]  So for the jail group
[0:42:48 -> 0:42:50]  It might be that criticality
[0:42:50 -> 0:42:52]  Do you see this in your community
[0:42:52 -> 0:42:54]  Why are you connecting to that
[0:42:54 -> 0:42:56]  Or is this something
[0:42:56 -> 0:42:58]  Or should you go to jail for stealing
[0:42:58 -> 0:43:00]  A stuffed animal for seven years
[0:43:00 -> 0:43:02]  And you're underage
[0:43:02 -> 0:43:04]  They recognize you're underage
[0:43:04 -> 0:43:06]  How should the world work
[0:43:08 -> 0:43:10]  Encourage them to share their opinions
[0:43:10 -> 0:43:12]  Some children do go to jail for a long time
[0:43:12 -> 0:43:14]  Yeah
[0:43:14 -> 0:43:16]  I think they
[0:43:16 -> 0:43:18]  I had that
[0:43:18 -> 0:43:20]  Coincidentally with my fourth graders
[0:43:20 -> 0:43:22]  What was your problem
[0:43:22 -> 0:43:24]  They
[0:43:24 -> 0:43:26]  I always sit in the front of the bus
[0:43:26 -> 0:43:28]  On field trips because I get car sick
[0:43:28 -> 0:43:30]  And one of the other kids also gets car sick
[0:43:30 -> 0:43:32]  So we sit together
[0:43:32 -> 0:43:34]  And
[0:43:34 -> 0:43:36]  It's kind of become a thing now
[0:43:36 -> 0:43:38]  That they will ask me a lot of questions
[0:43:38 -> 0:43:40]  On the bus
[0:43:40 -> 0:43:42]  And we somehow got on the topic of economics
[0:43:42 -> 0:43:44]  And like
[0:43:44 -> 0:43:46]  Why is it that things cost so much money
[0:43:46 -> 0:43:48]  And how is that fair
[0:43:48 -> 0:43:50]  That you have to pay for food
[0:43:50 -> 0:43:52]  When food is something that you need
[0:43:52 -> 0:43:54]  You know
[0:43:54 -> 0:43:56]  I have an example of Jean-Paul Jean
[0:43:56 -> 0:43:58]  From Les Mis of stealing a baguette
[0:43:58 -> 0:44:00]  And you know
[0:44:00 -> 0:44:02]  People being killed over the fact that
[0:44:02 -> 0:44:04]  They're going to jail for a very long time
[0:44:04 -> 0:44:06]  Because they're stealing a baguette
[0:44:06 -> 0:44:08]  Because they're hungry
[0:44:08 -> 0:44:10]  And it's like is that fair
[0:44:10 -> 0:44:12]  That was just my field trip
[0:44:12 -> 0:44:14]  Well he didn't name Jean-Paul Jean
[0:44:14 -> 0:44:16]  It was like the French story
[0:44:16 -> 0:44:18]  Of the guy who steals the baguette
[0:44:18 -> 0:44:20]  And I was like I think I know where you got this from
[0:44:20 -> 0:44:22]  I don't know how you got this from
[0:44:22 -> 0:44:24]  But somehow
[0:44:24 -> 0:44:26]  Somehow you've encountered Les Mis
[0:44:28 -> 0:44:30]  I was going to share
[0:44:30 -> 0:44:32]  Darielle was asking me the other day
[0:44:32 -> 0:44:34]  We were talking
[0:44:34 -> 0:44:36]  When we were in the cafeteria
[0:44:36 -> 0:44:38]  And said slavery had come up
[0:44:38 -> 0:44:40]  In some form
[0:44:40 -> 0:44:42]  And he was like oh that doesn't exist anymore
[0:44:42 -> 0:44:44]  I know all about that
[0:44:44 -> 0:44:46]  And he told me something about Abraham Lincoln
[0:44:46 -> 0:44:48]  And I was like yeah
[0:44:48 -> 0:44:50]  I wanted to like
[0:44:50 -> 0:44:52]  I wanted to read the text to get into it more
[0:44:52 -> 0:44:54]  But I was like actually you know that it still happens
[0:44:54 -> 0:44:56]  In prisons and he was like I didn't know that
[0:44:56 -> 0:44:58]  Like he wanted to know more
[0:44:58 -> 0:45:00]  But we didn't have a lot of time
[0:45:00 -> 0:45:02]  Before we went upstairs
[0:45:02 -> 0:45:04]  Yeah and there's still people that have to work
[0:45:04 -> 0:45:06]  For other people for no money
[0:45:06 -> 0:45:08]  It's a form of slavery
[0:45:08 -> 0:45:10]  Yeah no it's literally according to the constitution
[0:45:10 -> 0:45:12]  It is slavery
[0:45:12 -> 0:45:14]  And it's legal
[0:45:14 -> 0:45:16]  It's modern forms of slavery
[0:45:16 -> 0:45:18]  That is pretty critical
[0:45:18 -> 0:45:20]  No I know that's why I didn't like bring it up again
[0:45:20 -> 0:45:22]  With him later because I didn't want to be like
[0:45:22 -> 0:45:24]  I don't know pushing something very intense
[0:45:24 -> 0:45:26]  On him
[0:45:26 -> 0:45:28]  That was the day I was carrying the rope
[0:45:28 -> 0:45:30]  Is that how it came out?
[0:45:30 -> 0:45:32]  Yeah because I think you or I
[0:45:32 -> 0:45:34]  Told him
[0:45:34 -> 0:45:36]  That we're going to
[0:45:36 -> 0:45:38]  If there were misbehavior
[0:45:38 -> 0:45:40]  They were asking why you had the rope
[0:45:40 -> 0:45:42]  And you made a joke
[0:45:42 -> 0:45:44]  He said yeah
[0:45:44 -> 0:45:46]  We have to close here1
